# results/trace_hf_decode.json.gz, step 2 of 5, segmented on annotation
# 1198 kernels, 1198 CPU launches, 15.302 ms device busy
# gap us = device idle before this event. s = * when the CPU had not yet issued the launch.
    #  launch us     gpu us   wait us    dur us   gap us s  aten op                    kernel
---------------------------------------------------------------------------------------------
    0      135.5     1356.2   1203.74      3.68     0.00    embedding/index_select     indexSelectSmallIndex<2,2>
  526    31628.4    31642.5      0.78      7.81    93.70 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  527    31708.3    31722.5      0.60      3.97    72.16 *  mul                        elementwise_kernel<128,4>
  528    31780.5    31794.1      0.79      3.71    67.61 *  neg                        elementwise_kernel<128,4>
  529    31825.0    31838.5      1.04      5.28    40.74 *  cat                        CatArrayBatchedCopy<4,64,64>
  530    31866.5    31879.0      0.91      3.52    35.20 *  mul                        elementwise_kernel<128,4>
  531    31903.6    31915.4      0.80      2.08    32.90 *  add                        vectorized_elementwise_kernel<4>
  532    31940.4    31952.3      1.00      2.69    34.85 *  mul                        elementwise_kernel<128,4>
  533    32004.5    32017.8      0.86      2.30    62.78 *  neg                        elementwise_kernel<128,4>
  534    32046.4    32059.2      1.08      3.39    39.14 *  cat                        CatArrayBatchedCopy<4,64,64>
  535    32085.1    32097.6      0.85      2.72    34.94 *  mul                        elementwise_kernel<128,4>
  536    32120.9    32132.6      0.84      2.08    32.29 *  add                        vectorized_elementwise_kernel<4>
  537    32169.9    32183.2      0.88      4.00    48.51 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  538    32212.7    32225.2      1.08      3.62    38.05 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  539    32367.8    32381.9      0.54     15.07   153.02 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  540    32383.7    32398.0      7.07      6.27     1.06    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  541    32517.4    32532.9      0.47     21.18   128.67 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  542    32577.5    32591.5      0.82      2.30    37.41 *  add                        vectorized_elementwise_kernel<4>
  543    32644.2    32658.6      0.66      4.26    64.74 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  544    32692.9    32705.3      0.75      2.05    42.46 *  pow                        vectorized_elementwise_kernel<4,1>
  545    32736.1    32749.3      0.97      4.86    41.95 *  mean                       reduce_kernel<512,1>
  546    32784.9    32797.9      0.69      2.05    43.77 *  add                        vectorized_elementwise_kernel<4>
  547    32821.2    32833.2      0.68      2.08    33.25 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  548    32858.8    32871.2      0.77      2.66    35.93 *  mul                        elementwise_kernel<128,2>
  549    32915.3    32929.0      0.80      1.98    55.10 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  550    32955.2    32967.4      0.88      2.30    36.48 *  mul                        vectorized_elementwise_kernel<4>
  551    33044.2    33058.7      0.64     97.89    88.99 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  552    33101.7    33157.7     43.01      3.55     1.06    silu                       vectorized_elementwise_kernel<4,1,5,1>
  553    33182.2    33196.6      1.02     97.53    35.39 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  554    33231.3    33295.3     51.27      2.88     1.09    mul                        vectorized_elementwise_kernel<4>
  555    33316.8    33330.4      1.24    113.57    32.26 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  556    33330.8    33445.2    106.74      3.49     1.25    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  557    33379.5    33449.9     37.84      2.62     1.21    add                        vectorized_elementwise_kernel<4>
  558    33484.9    33500.3      0.87      4.16    47.78 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  559    33536.2    33549.3      0.58      1.98    44.80 *  pow                        vectorized_elementwise_kernel<4,1>
  560    33581.9    33595.2      0.81      4.67    43.90 *  mean                       reduce_kernel<512,1>
  561    33631.9    33645.5      0.77      2.02    45.66 *  add                        vectorized_elementwise_kernel<4>
  562    33669.8    33682.2      0.79      2.27    34.69 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  563    33718.8    33731.0      0.79      2.75    46.56 *  mul                        elementwise_kernel<128,2>
  564    33774.9    33788.1      0.75      1.98    54.30 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  565    33814.1    33826.2      1.01      2.14    36.19 *  mul                        vectorized_elementwise_kernel<4>
  566    33913.1    33928.1      0.59     20.16    99.68 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  567    34020.2    34035.2      1.01      8.06    86.98 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  568    34122.0    34136.1      0.48      7.84    92.80 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  569    34202.7    34216.9      0.68      3.94    72.99 *  mul                        elementwise_kernel<128,4>
  570    34275.0    34288.2      0.69      3.78    67.36 *  neg                        elementwise_kernel<128,4>
  571    34319.3    34332.7      0.70      5.31    40.74 *  cat                        CatArrayBatchedCopy<4,64,64>
  572    34361.2    34373.5      0.81      3.46    35.46 *  mul                        elementwise_kernel<128,4>
  573    34398.5    34410.7      1.02      2.08    33.79 *  add                        vectorized_elementwise_kernel<4>
  574    34435.9    34447.6      0.90      2.69    34.78 *  mul                        elementwise_kernel<128,4>
  575    34499.5    34512.8      0.89      2.34    62.56 *  neg                        elementwise_kernel<128,4>
  576    34541.7    34554.7      0.86      3.49    39.49 *  cat                        CatArrayBatchedCopy<4,64,64>
  577    34581.2    34593.5      1.11      2.66    35.33 *  mul                        elementwise_kernel<128,4>
  578    34616.9    34628.6      0.51      2.02    32.48 *  add                        vectorized_elementwise_kernel<4>
  579    34666.5    34680.0      0.94      3.97    49.38 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  580    34709.1    34721.5      0.99      3.68    37.57 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  581    34864.2    34878.4      0.57     15.14   153.15 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  582    34880.0    34894.6      7.11      6.27     1.09    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  583    35014.7    35029.9      0.50     21.70   129.09 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  584    35074.6    35088.1      0.79      2.46    36.48 *  add                        vectorized_elementwise_kernel<4>
  585    35141.8    35156.3      0.79      4.22    65.69 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  586    35190.0    35202.8      0.79      2.02    42.30 *  pow                        vectorized_elementwise_kernel<4,1>
  587    35233.7    35246.8      0.80      4.90    41.95 *  mean                       reduce_kernel<512,1>
  588    35282.5    35295.6      0.74      2.05    43.97 *  add                        vectorized_elementwise_kernel<4>
  589    35318.8    35330.9      1.07      2.27    33.25 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  590    35355.9    35368.2      0.75      2.85    35.04 *  mul                        elementwise_kernel<128,2>
  591    35412.4    35425.6      0.78      1.98    54.49 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  592    35451.6    35463.8      1.00      2.33    36.19 *  mul                        vectorized_elementwise_kernel<4>
  593    35540.6    35555.1      0.70     97.47    89.02 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  594    35598.1    35653.8     42.14      3.58     1.22    silu                       vectorized_elementwise_kernel<4,1,5,1>
  595    35678.2    35692.9      0.94     97.73    35.49 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  596    35727.0    35791.9     52.22      2.85     1.28    mul                        vectorized_elementwise_kernel<4>
  597    35811.4    35824.9      1.21    112.67    30.14 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  598    35825.3    35938.6    105.73      3.55     1.02    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  599    35873.7    35943.3     57.13      2.59     1.15    add                        vectorized_elementwise_kernel<4>
  600    35954.4    35969.3      1.01      4.10    23.42 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  601    36003.2    36016.3      1.03      1.98    42.88 *  pow                        vectorized_elementwise_kernel<4,1>
  602    36046.5    36059.5      0.87      4.67    41.22 *  mean                       reduce_kernel<512,1>
  603    36094.8    36108.1      0.74      2.05    43.97 *  add                        vectorized_elementwise_kernel<4>
  604    36131.4    36143.4      0.83      2.24    33.25 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  605    36168.8    36181.3      1.15      2.72    35.71 *  mul                        elementwise_kernel<128,2>
  606    36225.1    36238.1      0.73      1.95    54.08 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  607    36264.2    36276.3      0.75      2.21    36.16 *  mul                        vectorized_elementwise_kernel<4>
  608    36363.0    36378.0      0.59     19.97    99.58 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  609    36471.2    36486.0      0.95      8.26    88.03 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  610    36573.7    36587.8      0.74      7.90    93.50 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  611    36653.6    36667.5      0.44      3.94    71.74 *  mul                        elementwise_kernel<128,4>
  612    36725.2    36738.7      0.86      3.71    67.36 *  neg                        elementwise_kernel<128,4>
  613    36769.8    36783.3      1.01      5.31    40.86 *  cat                        CatArrayBatchedCopy<4,64,64>
  614    36811.4    36823.6      0.81      3.46    34.98 *  mul                        elementwise_kernel<128,4>
  615    36848.4    36860.4      0.68      2.05    33.38 *  add                        vectorized_elementwise_kernel<4>
  616    36886.7    36898.7      1.06      2.65    36.26 *  mul                        elementwise_kernel<128,4>
  617    36950.8    36964.0      0.94      2.30    62.62 *  neg                        elementwise_kernel<128,4>
  618    36992.5    37005.4      0.93      3.49    39.10 *  cat                        CatArrayBatchedCopy<4,64,64>
  619    37032.1    37044.3      0.80      2.69    35.39 *  mul                        elementwise_kernel<128,4>
  620    37068.3    37080.1      0.91      2.05    33.09 *  add                        vectorized_elementwise_kernel<4>
  621    37117.2    37131.0      1.05      3.97    48.90 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  622    37160.9    37173.4      0.94      3.65    38.37 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  623    37315.8    37330.1      0.32     15.04   153.05 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  624    37332.1    37346.3      7.07      6.24     1.15    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  625    37478.6    37494.4      0.60     21.79   141.89 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  626    37539.4    37553.1      0.63      2.34    36.90 *  add                        vectorized_elementwise_kernel<4>
  627    37606.5    37621.0      0.64      4.22    65.57 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  628    37655.3    37667.7      0.83      2.02    42.53 *  pow                        vectorized_elementwise_kernel<4,1>
  629    37698.7    37712.1      0.90      4.96    42.33 *  mean                       reduce_kernel<512,1>
  630    37748.2    37761.1      0.74      1.92    44.10 *  add                        vectorized_elementwise_kernel<4>
  631    37784.3    37796.2      0.89      2.21    33.18 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  632    37821.1    37833.7      0.85      2.94    35.23 *  mul                        elementwise_kernel<128,2>
  633    37877.4    37890.7      0.87      2.02    54.05 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  634    37916.7    37929.1      0.94      2.27    36.38 *  mul                        vectorized_elementwise_kernel<4>
  635    38069.2    38084.2      0.35     99.90   152.89 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  636    38128.2    38185.4     43.64      3.55     1.28    silu                       vectorized_elementwise_kernel<4,1,5,1>
  637    38208.8    38223.6      1.02     99.39    34.62 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  638    38258.4    38324.2     53.32      2.88     1.25    mul                        vectorized_elementwise_kernel<4>
  639    38342.7    38356.2      1.25    112.80    29.12 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  640    38356.5    38470.1    105.82      3.62     1.09    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  641    38405.6    38474.9     56.60      2.62     1.15    add                        vectorized_elementwise_kernel<4>
  642    38487.2    38502.2      0.93      4.10    24.67 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  643    38536.6    38549.3      0.87      1.98    43.07 *  pow                        vectorized_elementwise_kernel<4,1>
  644    38580.4    38593.3      0.57      4.74    42.02 *  mean                       reduce_kernel<512,1>
  645    38629.1    38642.2      0.93      2.08    44.10 *  add                        vectorized_elementwise_kernel<4>
  646    38665.3    38677.3      0.82      2.21    33.09 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  647    38702.6    38714.8      0.81      2.69    35.26 *  mul                        elementwise_kernel<128,2>
  648    38759.2    38772.5      0.70      1.98    54.98 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  649    38798.4    38810.7      1.01      2.21    36.26 *  mul                        vectorized_elementwise_kernel<4>
  650    38897.3    38912.3      0.57     20.13    99.36 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  651    39004.2    39019.2      0.98      8.35    86.75 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  652    39106.3    39120.6      0.60      7.87    93.05 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  653    39186.7    39200.7      0.69      3.97    72.26 *  mul                        elementwise_kernel<128,4>
  654    39257.8    39271.2      0.82      3.74    66.56 *  neg                        elementwise_kernel<128,4>
  655    39301.9    39315.5      0.88      5.28    40.51 *  cat                        CatArrayBatchedCopy<4,64,64>
  656    39343.7    39355.9      0.75      3.46    35.10 *  mul                        elementwise_kernel<128,4>
  657    39380.6    39392.6      1.02      2.11    33.31 *  add                        vectorized_elementwise_kernel<4>
  658    39417.4    39429.2      0.83      2.66    34.50 *  mul                        elementwise_kernel<128,4>
  659    39481.0    39493.9      0.78      2.34    62.05 *  neg                        elementwise_kernel<128,4>
  660    39522.6    39535.2      0.96      3.49    38.94 *  cat                        CatArrayBatchedCopy<4,64,64>
  661    39561.6    39573.9      1.13      2.66    35.17 *  mul                        elementwise_kernel<128,4>
  662    39597.0    39608.6      0.73      2.05    32.03 *  add                        vectorized_elementwise_kernel<4>
  663    39646.2    39659.8      0.89      4.00    49.22 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  664    39689.6    39702.2      0.96      3.81    38.40 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  665    39844.1    39858.4      0.60     15.10   152.41 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  666    39860.2    39874.7      7.23      6.27     1.18    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  667    39995.2    40010.6      0.46     21.86   129.57 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  668    40055.3    40068.8      0.74      2.50    36.38 *  add                        vectorized_elementwise_kernel<4>
  669    40122.2    40136.7      0.86      4.22    65.44 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  670    40170.9    40183.6      0.76      2.02    42.66 *  pow                        vectorized_elementwise_kernel<4,1>
  671    40214.4    40227.3      0.83      4.90    41.63 *  mean                       reduce_kernel<512,1>
  672    40263.4    40276.2      0.74      2.18    44.03 *  add                        vectorized_elementwise_kernel<4>
  673    40299.3    40311.5      1.10      2.24    33.09 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  674    40336.5    40348.7      0.80      2.88    35.04 *  mul                        elementwise_kernel<128,2>
  675    40392.9    40406.0      0.69      1.98    54.40 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  676    40432.2    40444.5      1.16      2.30    36.54 *  mul                        vectorized_elementwise_kernel<4>
  677    40521.2    40536.0      0.63     97.60    89.12 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  678    40579.4    40634.7     42.16      3.55     1.15    silu                       vectorized_elementwise_kernel<4,1,5,1>
  679    40658.8    40673.4      1.07     98.08    35.10 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  680    40707.4    40772.5     52.89      2.94     1.09    mul                        vectorized_elementwise_kernel<4>
  681    40791.3    40804.9      1.28    114.11    29.38 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  682    40805.5    40920.2    107.13      3.46     1.22    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  683    40854.1    40924.9     58.07      2.59     1.28    add                        vectorized_elementwise_kernel<4>
  684    40935.7    40950.7      1.00      4.00    23.17 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  685    40985.0    40997.8      1.03      1.98    43.10 *  pow                        vectorized_elementwise_kernel<4,1>
  686    41028.4    41041.4      0.77      4.70    41.66 *  mean                       reduce_kernel<512,1>
  687    41077.1    41090.1      0.81      2.05    44.00 *  add                        vectorized_elementwise_kernel<4>
  688    41113.1    41125.1      0.73      2.24    32.96 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  689    41150.9    41163.1      1.12      2.69    35.71 *  mul                        elementwise_kernel<128,2>
  690    41206.8    41220.0      0.69      1.95    54.18 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  691    41246.2    41258.1      0.89      2.24    36.22 *  mul                        vectorized_elementwise_kernel<4>
  692    41345.1    41359.9      0.44     20.16    99.58 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  693    41462.5    41477.6      0.72      8.13    97.50 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  694    41565.7    41580.0      0.64      7.97    94.27 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  695    41646.3    41660.3      0.46      3.97    72.32 *  mul                        elementwise_kernel<128,4>
  696    41718.6    41731.9      0.85      3.71    67.61 *  neg                        elementwise_kernel<128,4>
  697    41762.6    41776.2      0.97      5.31    40.64 *  cat                        CatArrayBatchedCopy<4,64,64>
  698    41804.6    41817.2      0.85      3.42    35.65 *  mul                        elementwise_kernel<128,4>
  699    41842.7    41854.9      0.76      2.05    34.27 *  add                        vectorized_elementwise_kernel<4>
  700    41880.6    41892.6      0.88      2.72    35.65 *  mul                        elementwise_kernel<128,4>
  701    41945.3    41958.5      0.91      2.30    63.17 *  neg                        elementwise_kernel<128,4>
  702    41987.0    42000.1      1.09      3.42    39.30 *  cat                        CatArrayBatchedCopy<4,64,64>
  703    42026.4    42043.8      0.59      2.72    40.32 *  mul                        elementwise_kernel<128,4>
  704    42070.0    42082.3      0.91      2.05    35.78 *  add                        vectorized_elementwise_kernel<4>
  705    42120.0    42133.7      0.83      4.00    49.34 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  706    42163.6    42176.3      1.03      3.71    38.59 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  707    42316.7    42331.0      0.44     15.07   151.01 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  708    42332.9    42347.3      7.22      6.27     1.22    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  709    42467.5    42482.9      0.63     21.15   129.31 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  710    42527.3    42541.1      0.78      2.50    37.09 *  add                        vectorized_elementwise_kernel<4>
  711    42594.3    42608.8      0.65      4.45    65.15 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  712    42642.8    42655.4      0.82      2.02    42.24 *  pow                        vectorized_elementwise_kernel<4,1>
  713    42686.3    42699.4      1.05      4.83    41.98 *  mean                       reduce_kernel<512,1>
  714    42734.8    42747.7      0.67      1.92    43.42 *  add                        vectorized_elementwise_kernel<4>
  715    42770.7    42782.7      0.95      2.27    33.06 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  716    42807.9    42820.2      0.87      2.88    35.26 *  mul                        elementwise_kernel<128,2>
  717    42864.2    42877.7      0.56      1.98    54.66 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  718    42904.1    42916.2      0.87      2.34    36.48 *  mul                        vectorized_elementwise_kernel<4>
  719    42993.2    43007.8      0.59     98.53    89.25 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  720    43050.9    43107.4     43.31      3.62     1.12    silu                       vectorized_elementwise_kernel<4,1,5,1>
  721    43131.2    43145.7      0.96     97.50    34.69 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  722    43180.5    43244.5     51.40      2.88     1.25    mul                        vectorized_elementwise_kernel<4>
  723    43265.2    43278.8      1.09    112.57    31.42 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  724    43279.3    43392.6    105.67      3.46     1.25    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  725    43328.5    43397.5     56.33      2.56     1.38    add                        vectorized_elementwise_kernel<4>
  726    43408.9    43424.2      1.19      4.10    24.19 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  727    43458.1    43470.9      0.90      2.02    42.62 *  pow                        vectorized_elementwise_kernel<4,1>
  728    43501.5    43514.7      0.86      4.64    41.73 *  mean                       reduce_kernel<512,1>
  729    43549.8    43562.9      0.86      2.08    43.62 *  add                        vectorized_elementwise_kernel<4>
  730    43585.9    43597.9      0.84      2.24    32.86 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  731    43622.7    43634.8      0.87      2.72    34.69 *  mul                        elementwise_kernel<128,2>
  732    43678.7    43692.0      0.76      1.98    54.46 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  733    43717.7    43730.0      1.03      2.21    36.00 *  mul                        vectorized_elementwise_kernel<4>
  734    43830.8    43846.1      0.49     20.54   113.98 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  735    43943.0    43958.4      0.82      7.94    91.68 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  736    44049.3    44063.8      0.44      7.90    97.53 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  737    44132.7    44147.1      0.46      3.97    75.39 *  mul                        elementwise_kernel<128,4>
  738    44207.3    44221.2      0.55      3.78    70.05 *  neg                        elementwise_kernel<128,4>
  739    44253.3    44266.9      0.87      5.31    41.98 *  cat                        CatArrayBatchedCopy<4,64,64>
  740    44295.8    44308.6      0.75      3.42    36.38 *  mul                        elementwise_kernel<128,4>
  741    44334.6    44347.1      0.73      2.08    35.10 *  add                        vectorized_elementwise_kernel<4>
  742    44373.1    44384.9      0.59      2.69    35.68 *  mul                        elementwise_kernel<128,4>
  743    44439.8    44453.3      0.79      2.34    65.73 *  neg                        elementwise_kernel<128,4>
  744    44483.1    44496.2      0.91      3.39    40.61 *  cat                        CatArrayBatchedCopy<4,64,64>
  745    44523.6    44536.1      0.97      2.69    36.48 *  mul                        elementwise_kernel<128,4>
  746    44560.5    44572.5      0.41      2.08    33.73 *  add                        vectorized_elementwise_kernel<4>
  747    44622.5    44636.5      0.86      3.94    61.85 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  748    44666.2    44679.0      0.96      3.65    38.56 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  749    44820.2    44834.4      0.67     15.07   151.81 *  scaled_dot_product_attenti flash_fwd_splitkv_kernel<128,64,128,4,false,false>
  750    44836.0    44850.6      7.18      6.24     1.12    scaled_dot_product_attenti flash_fwd_splitkv_combine_kernel<4,3,true>
  751    44971.4    44986.5      0.43     21.44   129.63 *  linear/mm                  gemv2T_kernel_val<128,16,2,4,false,false>
  752    45031.2    45045.2      1.14      2.59    37.28 *  add                        vectorized_elementwise_kernel<4>
  753    45098.4    45112.9      0.77      4.42    65.09 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  754    45146.9    45159.8      0.58      2.05    42.46 *  pow                        vectorized_elementwise_kernel<4,1>
  755    45190.8    45203.7      0.76      4.90    41.85 *  mean                       reduce_kernel<512,1>
  756    45240.0    45252.9      0.60      2.08    44.32 *  add                        vectorized_elementwise_kernel<4>
  757    45276.3    45288.3      0.92      2.37    33.34 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  758    45313.6    45326.1      0.82      2.85    35.39 *  mul                        elementwise_kernel<128,2>
  759    45370.0    45383.3     -5.99      1.98    54.40 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  760    45443.5    45457.3      0.89      2.30    72.00 *  mul                        vectorized_elementwise_kernel<4>
  761    45540.8    45556.2      0.62     97.57    96.58 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  762    45601.7    45654.9     39.12      3.58     1.15    silu                       vectorized_elementwise_kernel<4,1,5,1>
  763    45697.4    45712.6    -10.50     99.10    54.18 *  linear/mm                  gemv2T_kernel_val<128,16,4,4,false,false>
  764    45759.0    45812.9     41.44      2.91     1.18    mul                        vectorized_elementwise_kernel<4>
  765    45911.1    45925.0      1.07    113.41   109.15 *  linear/mm                  cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2
  766    45925.8    46039.5    105.93      3.55     1.12    linear/mm                  splitKreduce_kernel<32,16,false,true,false,false>
  767    45975.5    46044.2     56.03      2.62     1.15    add                        vectorized_elementwise_kernel<4>
  768    46057.3    46072.6      1.05      4.06    25.73 *  to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
  769    46106.8    46119.6      0.97      1.98    42.94 *  pow                        vectorized_elementwise_kernel<4,1>
  770    46150.4    46163.2      0.83      4.67    41.66 *  mean                       reduce_kernel<512,1>
  771    46199.0    46212.0      0.71      2.05    44.09 *  add                        vectorized_elementwise_kernel<4>
  772    46235.3    46247.3      0.58      2.21    33.25 *  rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
  773    46272.9    46285.2      1.04      2.75    35.71 *  mul                        elementwise_kernel<128,2>
  774    46329.3    46342.3      0.66      1.98    54.30 *  to/copy_                   vectorized_elementwise_kernel<4,1>
  775    46368.7    46392.2      0.93      2.14    47.90 *  mul                        vectorized_elementwise_kernel<4>
  776    46483.5    46498.7      0.47     20.26   104.38 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
  777    46595.8    46611.1      0.73      8.22    92.16 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  778    46702.2    46728.1      0.53      7.94   108.77 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
  779    46793.7    46807.6      0.40      3.97    71.55 *  mul                        elementwise_kernel<128,4>
  780    46865.5    46878.9      0.92      3.78    67.39 *  neg                        elementwise_kernel<128,4>
  781    46909.7    46923.1      1.04      5.31    40.38 *  cat                        CatArrayBatchedCopy<4,64,64>
  782    46951.0    46963.1      0.88      3.42    34.69 *  mul                        elementwise_kernel<128,4>
  783    46987.9    46999.7      0.72      2.05    33.18 *  add                        vectorized_elementwise_kernel<4>
  784    47024.8    47036.8      0.85      2.69    35.01 *  mul                        elementwise_kernel<128,4>
  785    47089.1    47102.5      0.95      2.30    63.07 *  neg                        elementwise_kernel<128,4>
  786    47131.2    47144.0      0.99      3.46    39.23 *  cat                        CatArrayBatchedCopy<4,64,64>
  787    47169.8    47181.8      0.78      2.72    34.30 *  mul                        elementwise_kernel<128,4>
  788    47205.5    47217.5      0.87      2.05    33.02 *  add                        vectorized_elementwise_kernel<4>
  789    47255.0    47268.7      0.95      3.97    49.15 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
  790    47297.8    47310.4      1.03      3.74    37.73 *  cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,8>
